Phase,Num_Images,Epoch,Time,Train Loss,Val Loss,Top-1 Accuracy,Top-5 Accuracy,LR_pg0,LR_pg1,LR_pg2
0,4018,1.0,49.1248,2.02983,0.78922,0.72991,0.9825,0.000127993,0.000127993,0.000127993
1,4218,1.0,48.9817,0.90663,0.6231,0.77844,0.99244,0.000127993,0.000127993,0.000127993
2,4418,1.0,46.4088,0.73598,0.56211,0.79554,0.99364,0.000127993,0.000127993,0.000127993
3,4618,1.0,46.9073,0.6377,0.52985,0.81225,0.99642,0.000127993,0.000127993,0.000127993
4,4818,1.0,46.3897,0.58502,0.48445,0.82259,0.99602,0.000127993,0.000127993,0.000127993
5,5018,1.0,60.9234,0.55498,0.47261,0.82538,0.99761,0.0001281,0.0001281,0.0001281
6,5218,1.0,60.9479,0.4209,0.47862,0.82578,0.99801,0.0001281,0.0001281,0.0001281
7,5418,1.0,60.761,0.31756,0.50202,0.82339,0.99801,0.0001281,0.0001281,0.0001281
8,5618,1.0,61.4058,0.50052,0.40128,0.85481,0.99881,0.0001281,0.0001281,0.0001281
9,5818,1.0,60.6464,0.35612,0.40399,0.85243,0.9992,0.0001281,0.0001281,0.0001281
10,6018,1.0,60.1291,0.25509,0.47057,0.85084,0.99881,0.0001281,0.0001281,0.0001281
11,6218,1.0,61.6836,0.44809,0.40697,0.86197,0.9996,0.0001281,0.0001281,0.0001281
12,6418,1.0,60.8599,0.88131,0.57557,0.79753,0.99602,0.0001281,0.0001281,0.0001281
13,6618,1.0,61.2893,0.68515,0.49871,0.81623,0.99722,0.0001281,0.0001281,0.0001281
14,6818,1.0,61.3821,0.60124,0.47245,0.83652,0.99881,0.0001281,0.0001281,0.0001281
15,7018,1.0,61.5637,0.4596,0.47127,0.83731,0.99841,0.0001281,0.0001281,0.0001281
16,7218,1.0,62.1102,0.51752,0.45119,0.83413,0.99841,0.0001281,0.0001281,0.0001281
17,7418,1.0,61.5042,0.4683,0.43364,0.85044,0.99881,0.0001281,0.0001281,0.0001281
18,7618,1.0,61.7805,0.43872,0.41279,0.85004,0.99841,0.0001281,0.0001281,0.0001281
19,7818,1.0,61.7634,0.43432,0.42483,0.84845,0.99761,0.0001281,0.0001281,0.0001281
20,8018,1.0,62.0348,0.41084,0.39861,0.85203,0.99841,0.0001281,0.0001281,0.0001281
21,8218,1.0,62.3182,0.39342,0.41506,0.85322,0.9992,0.0001281,0.0001281,0.0001281
22,8418,1.0,61.4083,0.73484,0.53097,0.81543,0.99443,0.0001281,0.0001281,0.0001281
23,8618,1.0,62.6041,0.62569,0.50406,0.821,0.99761,0.0001281,0.0001281,0.0001281
24,8818,1.0,62.4603,0.56847,0.52811,0.81305,0.99841,0.0001281,0.0001281,0.0001281
25,9018,1.0,61.5545,0.51452,0.43282,0.84328,0.99881,0.0001281,0.0001281,0.0001281
26,9218,1.0,60.445,0.48027,0.4299,0.84368,0.99881,0.0001281,0.0001281,0.0001281
27,9418,1.0,61.6462,0.35921,0.45066,0.84407,0.99881,0.0001281,0.0001281,0.0001281
28,9618,1.0,62.1153,0.42835,0.4148,0.85481,0.99881,0.0001281,0.0001281,0.0001281
29,9818,1.0,61.0855,0.41885,0.41623,0.84447,0.99881,0.0001281,0.0001281,0.0001281
30,10018,1.0,61.3407,0.4137,0.38626,0.85442,0.99881,0.000128101,0.000128101,0.000128101
31,10218,1.0,61.8097,0.38054,0.39154,0.86118,0.99841,0.000128101,0.000128101,0.000128101
32,10418,1.0,61.1376,0.64063,0.53205,0.80589,0.99841,0.0001281,0.0001281,0.0001281
33,10618,1.0,62.275,0.58046,0.46234,0.83214,0.99881,0.000128101,0.000128101,0.000128101
34,10818,1.0,62.5323,0.52834,0.43235,0.83771,0.9992,0.000128101,0.000128101,0.000128101
35,11018,1.0,61.9872,0.49389,0.43961,0.83731,0.99881,0.000128101,0.000128101,0.000128101
36,11218,1.0,62.0238,0.37443,0.47872,0.82657,0.9996,0.000128101,0.000128101,0.000128101
37,11418,1.0,61.1332,0.45012,0.44213,0.84208,0.9996,0.000128101,0.000128101,0.000128101
38,11618,1.0,61.6019,0.42716,0.42769,0.84765,0.99801,0.000128101,0.000128101,0.000128101
39,11818,1.0,61.643,0.4131,0.37481,0.8576,0.99881,0.000128101,0.000128101,0.000128101
40,12018,1.0,61.8354,0.37639,0.38089,0.86158,0.9996,0.000128101,0.000128101,0.000128101
41,12218,1.0,62.2732,0.36717,0.40865,0.85044,0.99881,0.000128101,0.000128101,0.000128101
42,12418,1.0,61.2955,0.59727,0.47814,0.82021,0.99761,0.0001281,0.0001281,0.0001281
43,12618,1.0,61.1749,0.54927,0.44534,0.83413,0.99841,0.000128101,0.000128101,0.000128101
44,12818,1.0,61.5205,0.41799,0.4499,0.83811,0.99841,0.000128101,0.000128101,0.000128101
45,13018,1.0,62.0261,0.3153,0.49416,0.83532,0.99801,0.000128101,0.000128101,0.000128101
46,13218,1.0,60.8765,0.23333,0.57365,0.82975,0.99722,0.000128101,0.000128101,0.000128101
47,13418,1.0,61.7376,0.17553,0.69908,0.83174,0.99722,0.000128101,0.000128101,0.000128101
48,13618,1.0,62.61,0.49813,0.45247,0.84049,0.99761,0.000128101,0.000128101,0.000128101
49,13818,1.0,61.9984,0.30765,0.48788,0.8389,0.99722,0.000128101,0.000128101,0.000128101
