Phase,Num_Images,Epoch,Time,Train Loss,Val Loss,Top-1 Accuracy,Top-5 Accuracy,LR_pg0,LR_pg1,LR_pg2
0,4018,1.0,37.1199,2.24634,1.04217,0.67184,0.96416,0.000127824,0.000127824,0.000127824
1,4218,1.0,36.8332,1.09512,0.76344,0.73676,0.98088,0.000127824,0.000127824,0.000127824
2,4418,1.0,35.5565,0.83799,0.63207,0.7738,0.98686,0.000127824,0.000127824,0.000127824
3,4618,1.0,35.7539,0.72474,0.61761,0.78256,0.98925,0.000127824,0.000127824,0.000127824
4,4818,1.0,34.3497,0.64027,0.60175,0.78176,0.98845,0.000127824,0.000127824,0.000127824
5,5018,1.0,33.9503,0.60572,0.53953,0.80924,0.99164,0.000127824,0.000127824,0.000127824
6,5218,1.0,35.2161,0.5613,0.51178,0.81959,0.99044,0.000127824,0.000127824,0.000127824
7,5418,1.0,34.4427,0.53033,0.50184,0.81641,0.99204,0.000127824,0.000127824,0.000127824
8,5618,1.0,34.7337,0.49114,0.51076,0.8176,0.99204,0.000127824,0.000127824,0.000127824
9,5818,1.0,34.4107,0.47753,0.49796,0.82437,0.99164,0.000127824,0.000127824,0.000127824
10,6018,1.0,36.156,0.45311,0.48812,0.81959,0.99243,0.000127824,0.000127824,0.000127824
11,6218,1.0,34.9422,0.4383,0.47904,0.83154,0.99363,0.000127824,0.000127824,0.000127824
12,6418,1.0,34.7807,0.41991,0.47047,0.83313,0.99323,0.000127824,0.000127824,0.000127824
13,6618,1.0,35.5482,0.39492,0.44972,0.84229,0.99403,0.000127824,0.000127824,0.000127824
14,6818,1.0,35.9792,0.39846,0.47583,0.83114,0.99442,0.000127824,0.000127824,0.000127824
15,7018,1.0,35.3369,0.37177,0.47688,0.83353,0.99323,0.000127826,0.000127826,0.000127826
16,7218,1.0,34.3107,0.36506,0.45601,0.84349,0.99562,0.000127826,0.000127826,0.000127826
17,7418,1.0,34.965,0.35118,0.46852,0.84707,0.99522,0.000127826,0.000127826,0.000127826
18,7618,1.0,34.8914,0.33755,0.47496,0.8419,0.99562,0.000127826,0.000127826,0.000127826
19,7818,1.0,37.2092,0.31852,0.48085,0.83751,0.99562,0.000127826,0.000127826,0.000127826
20,8018,1.0,35.7895,0.31826,0.46139,0.84508,0.99602,0.000127826,0.000127826,0.000127826
21,8218,1.0,35.4746,0.31528,0.48502,0.83911,0.99522,0.000127826,0.000127826,0.000127826
22,8418,1.0,36.4639,0.29994,0.45188,0.85066,0.99562,0.000127826,0.000127826,0.000127826
23,8618,1.0,34.7313,0.28698,0.47084,0.84468,0.99562,0.000127826,0.000127826,0.000127826
24,8818,1.0,35.876,0.26821,0.47582,0.84389,0.99482,0.000127826,0.000127826,0.000127826
25,9018,1.0,35.0005,0.26798,0.47889,0.84429,0.99482,0.000127826,0.000127826,0.000127826
26,9218,1.0,35.9062,0.25943,0.51555,0.8399,0.99642,0.000127826,0.000127826,0.000127826
27,9418,1.0,35.6547,0.2487,0.54598,0.8419,0.99681,0.000127826,0.000127826,0.000127826
28,9618,1.0,35.6989,0.2426,0.50052,0.84747,0.99681,0.000127826,0.000127826,0.000127826
29,9818,1.0,34.6082,0.2544,0.48834,0.85145,0.99602,0.000127826,0.000127826,0.000127826
30,10018,1.0,35.6233,0.23574,0.51133,0.84269,0.99562,0.000127826,0.000127826,0.000127826
31,10218,1.0,35.4213,0.22337,0.51848,0.83871,0.99602,0.000127828,0.000127828,0.000127828
32,10418,1.0,34.4714,0.22806,0.55063,0.84349,0.99602,0.000127828,0.000127828,0.000127828
33,10618,1.0,34.879,0.23574,0.51632,0.84906,0.99602,0.000127828,0.000127828,0.000127828
34,10818,1.0,35.81,0.20239,0.57948,0.83672,0.99442,0.000127828,0.000127828,0.000127828
35,11018,1.0,37.9731,0.20858,0.49875,0.84548,0.99562,0.000127828,0.000127828,0.000127828
36,11218,1.0,33.8307,0.19621,0.53301,0.84667,0.99602,0.000127828,0.000127828,0.000127828
37,11418,1.0,36.427,0.19782,0.54503,0.84588,0.99482,0.000127828,0.000127828,0.000127828
38,11618,1.0,36.976,0.19398,0.53025,0.85145,0.99602,0.000127828,0.000127828,0.000127828
39,11818,1.0,43.0347,0.18345,0.53204,0.85265,0.99602,0.000127828,0.000127828,0.000127828
40,12018,1.0,34.636,0.18112,0.61256,0.83632,0.99562,0.000127828,0.000127828,0.000127828
41,12218,1.0,36.3692,0.17063,0.57989,0.84468,0.99522,0.000127828,0.000127828,0.000127828
42,12418,1.0,35.7058,0.17179,0.59305,0.84667,0.99522,0.000127828,0.000127828,0.000127828
43,12618,1.0,34.6787,0.17608,0.59843,0.83751,0.99562,0.000127828,0.000127828,0.000127828
44,12818,1.0,35.2264,0.16045,0.6362,0.83353,0.99442,0.000127828,0.000127828,0.000127828
45,13018,1.0,35.0351,0.1655,0.59003,0.84508,0.99442,0.000127828,0.000127828,0.000127828
46,13218,1.0,42.3615,0.16973,0.62047,0.82955,0.99482,0.000127828,0.000127828,0.000127828
47,13418,1.0,36.1062,0.16084,0.59925,0.84906,0.99442,0.00012783,0.00012783,0.00012783
48,13618,1.0,34.9005,0.16325,0.6111,0.84508,0.99482,0.00012783,0.00012783,0.00012783
49,13818,1.0,35.2417,0.14934,0.58582,0.84707,0.99522,0.00012783,0.00012783,0.00012783
