Phase,Num_Images,Epoch,Time,Train Loss,Val Loss,Top-1 Accuracy,Top-5 Accuracy,LR_pg0,LR_pg1,LR_pg2
0,4020,1.0,37.1083,2.27152,0.95929,0.67701,0.96977,0.000127824,0.000127824,0.000127824
1,4221,1.0,36.3025,1.15415,0.67036,0.7681,0.98886,0.000127847,0.000127847,0.000127847
2,4422,1.0,35.8102,0.92976,0.61588,0.77685,0.99642,0.00012787,0.00012787,0.00012787
3,4623,1.0,36.8119,0.84367,0.53277,0.79634,0.9992,0.000127889,0.000127889,0.000127889
4,4824,1.0,38.2619,0.77958,0.51085,0.80947,0.99881,0.000127908,0.000127908,0.000127908
5,5025,1.0,39.7274,0.74455,0.47603,0.81941,0.9996,0.000127926,0.000127926,0.000127926
6,5226,1.0,40.5415,0.70436,0.44622,0.83572,1.0,0.000127941,0.000127941,0.000127941
7,5427,1.0,41.3474,0.68813,0.46392,0.83214,1.0,0.000127956,0.000127956,0.000127956
8,5628,1.0,43.1279,0.66762,0.39866,0.85521,0.9992,0.000127969,0.000127969,0.000127969
9,5829,1.0,43.0342,0.65436,0.40397,0.85521,0.9996,0.000127982,0.000127982,0.000127982
10,6030,1.0,45.7853,0.63501,0.37928,0.85959,0.9996,0.000127993,0.000127993,0.000127993
11,6231,1.0,50.3024,0.61979,0.37572,0.86396,1.0,0.000128004,0.000128004,0.000128004
12,6432,1.0,47.0762,0.60015,0.38305,0.86794,0.9996,0.000128014,0.000128014,0.000128014
13,6633,1.0,47.1478,0.59758,0.41628,0.85362,1.0,0.000128024,0.000128024,0.000128024
14,6834,1.0,48.9078,0.60193,0.38296,0.85839,0.99881,0.000128033,0.000128033,0.000128033
15,7035,1.0,50.5405,0.58267,0.3799,0.86675,0.9992,0.000128042,0.000128042,0.000128042
16,7236,1.0,50.7429,0.56944,0.36848,0.86675,0.9992,0.00012805,0.00012805,0.00012805
17,7437,1.0,51.428,0.55616,0.3665,0.87072,1.0,0.000128057,0.000128057,0.000128057
18,7638,1.0,53.2765,0.54654,0.38032,0.86794,1.0,0.000128065,0.000128065,0.000128065
19,7839,1.0,54.1911,0.54195,0.3325,0.88226,0.9996,0.000128071,0.000128071,0.000128071
20,8040,1.0,55.2853,0.52942,0.3407,0.88146,1.0,0.000128078,0.000128078,0.000128078
21,8241,1.0,56.5563,0.52551,0.36069,0.88226,1.0,0.000128085,0.000128085,0.000128085
22,8442,1.0,57.4142,0.51414,0.32771,0.87908,1.0,0.00012809,0.00012809,0.00012809
23,8643,1.0,58.1848,0.51441,0.32587,0.88465,1.0,0.000128096,0.000128096,0.000128096
24,8844,1.0,59.8424,0.50607,0.34697,0.87749,0.9996,0.000128101,0.000128101,0.000128101
25,9045,1.0,62.197,0.49598,0.33363,0.8747,1.0,0.000128107,0.000128107,0.000128107
26,9246,1.0,62.2097,0.48695,0.33081,0.88465,1.0,0.000128111,0.000128111,0.000128111
27,9447,1.0,63.9355,0.47959,0.29812,0.8926,0.9996,0.000128116,0.000128116,0.000128116
28,9648,1.0,64.9282,0.46896,0.31361,0.89379,0.9996,0.000128121,0.000128121,0.000128121
29,9849,1.0,66.6692,0.45493,0.30853,0.88703,1.0,0.000128125,0.000128125,0.000128125
30,10050,1.0,67.6395,0.45678,0.32756,0.88624,1.0,0.000128129,0.000128129,0.000128129
31,10251,1.0,67.6483,0.43693,0.31039,0.88823,0.9996,0.000128133,0.000128133,0.000128133
32,10452,1.0,70.0469,0.4239,0.3057,0.89379,0.9996,0.000128137,0.000128137,0.000128137
33,10653,1.0,72.2902,0.42313,0.32902,0.88544,0.9996,0.000128141,0.000128141,0.000128141
34,10854,1.0,73.2945,0.4052,0.28685,0.89499,1.0,0.000128144,0.000128144,0.000128144
35,11055,1.0,74.0578,0.39334,0.29464,0.89379,0.9992,0.000128148,0.000128148,0.000128148
36,11256,1.0,73.8179,0.38291,0.291,0.89658,1.0,0.000128151,0.000128151,0.000128151
37,11457,1.0,76.7143,0.38419,0.28702,0.90334,1.0,0.000128154,0.000128154,0.000128154
38,11658,1.0,75.9446,0.36194,0.31119,0.89181,1.0,0.000128157,0.000128157,0.000128157
39,11859,1.0,79.7813,0.35925,0.30409,0.89737,1.0,0.00012816,0.00012816,0.00012816
40,12060,1.0,78.3006,0.33943,0.30569,0.89459,1.0,0.000128163,0.000128163,0.000128163
41,12261,1.0,79.0443,0.33679,0.29414,0.90135,1.0,0.000128166,0.000128166,0.000128166
42,12462,1.0,81.611,0.33315,0.30479,0.89698,1.0,0.000128169,0.000128169,0.000128169
43,12663,1.0,82.4199,0.31601,0.31699,0.8934,0.9996,0.000128171,0.000128171,0.000128171
44,12864,1.0,84.6368,0.31876,0.34499,0.88663,0.9996,0.000128174,0.000128174,0.000128174
45,13065,1.0,83.7857,0.31535,0.29348,0.90414,1.0,0.000128176,0.000128176,0.000128176
46,13266,1.0,84.3537,0.29597,0.30819,0.89658,1.0,0.000128179,0.000128179,0.000128179
47,13467,1.0,86.2783,0.28885,0.3138,0.89777,1.0,0.000128181,0.000128181,0.000128181
48,13668,1.0,90.197,0.27988,0.3227,0.90016,0.9996,0.000128183,0.000128183,0.000128183
49,13869,1.0,88.0025,0.27628,0.30499,0.89618,1.0,0.000128185,0.000128185,0.000128185
