Phase,Num_Images,Epoch,Time,Train Loss,Val Loss,Top-1 Accuracy,Top-5 Accuracy,LR_pg0,LR_pg1,LR_pg2
0,4018,1.0,37.1363,2.26671,1.02805,0.66309,0.96221,0.000127824,0.000127824,0.000127824
1,4218,1.0,37.7653,1.07124,0.67092,0.76929,0.98926,0.000127847,0.000127847,0.000127847
2,4418,1.0,36.8702,0.81744,0.60626,0.77725,0.99403,0.00012787,0.00012787,0.00012787
3,4618,1.0,38.0928,0.71494,0.57425,0.7856,0.99364,0.000127889,0.000127889,0.000127889
4,4818,1.0,39.3392,0.64487,0.48394,0.82657,0.99682,0.000127908,0.000127908,0.000127908
5,5018,1.0,40.7324,0.59886,0.47341,0.83134,0.99642,0.000127925,0.000127925,0.000127925
6,5218,1.0,41.9293,0.54561,0.44857,0.83492,0.99841,0.000127941,0.000127941,0.000127941
7,5418,1.0,42.6229,0.52291,0.45583,0.83532,0.99841,0.000127955,0.000127955,0.000127955
8,5618,1.0,44.5624,0.49433,0.45957,0.83612,0.99881,0.000127969,0.000127969,0.000127969
9,5818,1.0,45.1079,0.46982,0.45047,0.83492,0.99801,0.000127981,0.000127981,0.000127981
10,6018,1.0,45.9457,0.45434,0.40916,0.85322,0.99801,0.000127993,0.000127993,0.000127993
11,6218,1.0,48.3723,0.44334,0.39134,0.85879,0.9992,0.000128003,0.000128003,0.000128003
12,6418,1.0,49.1414,0.41407,0.41043,0.85481,0.9992,0.000128014,0.000128014,0.000128014
13,6618,1.0,49.7777,0.40988,0.40322,0.85481,0.9996,0.000128023,0.000128023,0.000128023
14,6818,1.0,53.1009,0.37987,0.38272,0.86874,0.9996,0.000128033,0.000128033,0.000128033
15,7018,1.0,52.54,0.37278,0.41124,0.86158,1.0,0.000128041,0.000128041,0.000128041
16,7218,1.0,54.1757,0.35272,0.41672,0.8564,0.99841,0.000128049,0.000128049,0.000128049
17,7418,1.0,53.7785,0.36195,0.40638,0.85919,0.99881,0.000128057,0.000128057,0.000128057
18,7618,1.0,55.5161,0.33987,0.38229,0.86834,0.9996,0.000128064,0.000128064,0.000128064
19,7818,1.0,56.7844,0.3459,0.35377,0.8747,0.9992,0.000128071,0.000128071,0.000128071
20,8018,1.0,58.9672,0.33154,0.36993,0.86476,0.9996,0.000128078,0.000128078,0.000128078
21,8218,1.0,58.79,0.31847,0.35148,0.87192,0.9996,0.000128084,0.000128084,0.000128084
22,8418,1.0,61.0906,0.30675,0.4047,0.85919,0.99801,0.00012809,0.00012809,0.00012809
23,8618,1.0,62.3008,0.31209,0.37402,0.86913,0.9992,0.000128095,0.000128095,0.000128095
24,8818,1.0,63.3216,0.3103,0.37457,0.86993,1.0,0.000128101,0.000128101,0.000128101
25,9018,1.0,63.0926,0.29789,0.37543,0.86913,1.0,0.000128106,0.000128106,0.000128106
26,9218,1.0,66.013,0.29566,0.35362,0.88186,0.9996,0.000128111,0.000128111,0.000128111
27,9418,1.0,66.3528,0.29426,0.37963,0.87152,1.0,0.000128115,0.000128115,0.000128115
28,9618,1.0,68.7245,0.28954,0.37169,0.87112,1.0,0.00012812,0.00012812,0.00012812
29,9818,1.0,68.378,0.28449,0.36533,0.87152,0.9992,0.000128124,0.000128124,0.000128124
30,10018,1.0,70.0301,0.28529,0.33836,0.88663,0.9992,0.000128129,0.000128129,0.000128129
31,10218,1.0,70.894,0.2725,0.35053,0.87947,0.9992,0.000128132,0.000128132,0.000128132
32,10418,1.0,72.9993,0.26162,0.34611,0.88743,0.9992,0.000128137,0.000128137,0.000128137
33,10618,1.0,73.3616,0.26049,0.34992,0.88584,0.9996,0.00012814,0.00012814,0.00012814
34,10818,1.0,75.7143,0.25725,0.37255,0.87908,0.9996,0.000128144,0.000128144,0.000128144
35,11018,1.0,76.2386,0.24855,0.34995,0.88266,0.9996,0.000128147,0.000128147,0.000128147
36,11218,1.0,77.6684,0.25009,0.32118,0.88862,1.0,0.000128151,0.000128151,0.000128151
37,11418,1.0,77.0348,0.24142,0.33887,0.88783,0.9992,0.000128154,0.000128154,0.000128154
38,11618,1.0,80.0638,0.24449,0.38034,0.8743,0.9996,0.000128157,0.000128157,0.000128157
39,11818,1.0,80.7368,0.23017,0.34951,0.88425,1.0,0.00012816,0.00012816,0.00012816
40,12018,1.0,82.9589,0.24023,0.35444,0.88305,1.0,0.000128163,0.000128163,0.000128163
41,12218,1.0,83.4107,0.22457,0.33486,0.88345,0.9996,0.000128165,0.000128165,0.000128165
42,12418,1.0,86.5836,0.23705,0.38354,0.88067,0.9996,0.000128168,0.000128168,0.000128168
43,12618,1.0,86.0173,0.23968,0.33152,0.89101,1.0,0.000128171,0.000128171,0.000128171
44,12818,1.0,86.2902,0.22112,0.34475,0.88266,0.9996,0.000128173,0.000128173,0.000128173
45,13018,1.0,87.6631,0.22116,0.33995,0.88226,1.0,0.000128176,0.000128176,0.000128176
46,13218,1.0,90.2558,0.21495,0.3394,0.88862,1.0,0.000128178,0.000128178,0.000128178
47,13418,1.0,90.8991,0.20845,0.3544,0.88504,1.0,0.00012818,0.00012818,0.00012818
48,13618,1.0,91.2368,0.21745,0.36754,0.88703,1.0,0.000128183,0.000128183,0.000128183
49,13818,1.0,92.9558,0.21593,0.33394,0.88862,0.9996,0.000128185,0.000128185,0.000128185
