Phase,Num_Images,Epoch,Time,Train Loss,Val Loss,Top-1 Accuracy,Top-5 Accuracy,LR_pg0,LR_pg1,LR_pg2
0,4018,1.0,37.0726,2.26006,0.98512,0.68258,0.96897,0.000127824,0.000127824,0.000127824
1,4218,1.0,38.1275,1.09586,0.69376,0.75418,0.98687,0.000127847,0.000127847,0.000127847
2,4418,1.0,36.7459,0.82202,0.61752,0.77287,0.99523,0.00012787,0.00012787,0.00012787
3,4618,1.0,38.4216,0.7239,0.56095,0.80111,0.99682,0.000127889,0.000127889,0.000127889
4,4818,1.0,39.3559,0.64901,0.53025,0.80191,0.99722,0.000127908,0.000127908,0.000127908
5,5018,1.0,40.8172,0.60681,0.47397,0.82617,0.99722,0.000127925,0.000127925,0.000127925
6,5218,1.0,41.9804,0.55223,0.46177,0.82578,0.99881,0.000127941,0.000127941,0.000127941
7,5418,1.0,42.2788,0.5174,0.47109,0.82617,0.99801,0.000127955,0.000127955,0.000127955
8,5618,1.0,43.4545,0.50123,0.44592,0.8389,0.99881,0.000127969,0.000127969,0.000127969
9,5818,1.0,45.7811,0.45694,0.43596,0.8389,0.9992,0.000127981,0.000127981,0.000127981
10,6018,1.0,46.4881,0.46089,0.41399,0.84606,0.99881,0.000127993,0.000127993,0.000127993
11,6218,1.0,46.9149,0.42965,0.3947,0.8568,0.9992,0.000128003,0.000128003,0.000128003
12,6418,1.0,47.8614,0.42029,0.40422,0.84964,0.99881,0.000128014,0.000128014,0.000128014
13,6618,1.0,49.1617,0.40993,0.4386,0.84447,0.99801,0.000128023,0.000128023,0.000128023
14,6818,1.0,50.5534,0.40365,0.38745,0.84805,0.9996,0.000128033,0.000128033,0.000128033
15,7018,1.0,51.5261,0.3864,0.37295,0.86874,0.9992,0.000128041,0.000128041,0.000128041
16,7218,1.0,54.593,0.37209,0.41073,0.85163,0.9996,0.000128049,0.000128049,0.000128049
17,7418,1.0,54.2068,0.36372,0.39147,0.85919,0.9996,0.000128057,0.000128057,0.000128057
18,7618,1.0,54.975,0.35574,0.397,0.85919,0.9992,0.000128064,0.000128064,0.000128064
19,7818,1.0,56.7888,0.35202,0.37059,0.87311,0.99881,0.000128071,0.000128071,0.000128071
20,8018,1.0,58.818,0.32737,0.37651,0.86675,0.9992,0.000128078,0.000128078,0.000128078
21,8218,1.0,59.3329,0.3363,0.36568,0.87629,0.99881,0.000128084,0.000128084,0.000128084
22,8418,1.0,60.5476,0.3182,0.39389,0.86476,0.99881,0.00012809,0.00012809,0.00012809
23,8618,1.0,61.7269,0.32016,0.38413,0.85959,0.99801,0.000128095,0.000128095,0.000128095
24,8818,1.0,62.6575,0.31949,0.36419,0.87232,0.99841,0.000128101,0.000128101,0.000128101
25,9018,1.0,63.962,0.31644,0.36937,0.87112,0.9992,0.000128106,0.000128106,0.000128106
26,9218,1.0,65.7552,0.29999,0.36054,0.87391,0.9992,0.000128111,0.000128111,0.000128111
27,9418,1.0,65.9123,0.29382,0.38067,0.87072,0.99881,0.000128115,0.000128115,0.000128115
28,9618,1.0,66.8185,0.28584,0.38946,0.86516,0.9996,0.00012812,0.00012812,0.00012812
29,9818,1.0,68.7117,0.27987,0.37222,0.87351,0.9992,0.000128124,0.000128124,0.000128124
30,10018,1.0,70.8697,0.2834,0.34736,0.87987,0.99881,0.000128129,0.000128129,0.000128129
31,10218,1.0,71.054,0.27299,0.36642,0.87271,0.9996,0.000128132,0.000128132,0.000128132
32,10418,1.0,72.9077,0.27128,0.37984,0.87112,0.9996,0.000128137,0.000128137,0.000128137
33,10618,1.0,73.9292,0.26779,0.37151,0.87391,0.99881,0.00012814,0.00012814,0.00012814
34,10818,1.0,75.85,0.26721,0.39459,0.86953,0.9992,0.000128144,0.000128144,0.000128144
35,11018,1.0,75.4974,0.25603,0.36421,0.87311,0.9996,0.000128147,0.000128147,0.000128147
36,11218,1.0,75.2991,0.25921,0.37291,0.87232,0.9992,0.000128151,0.000128151,0.000128151
37,11418,1.0,76.6022,0.25002,0.36379,0.87271,0.9992,0.000128154,0.000128154,0.000128154
38,11618,1.0,80.6122,0.24613,0.3873,0.86595,0.99841,0.000128157,0.000128157,0.000128157
39,11818,1.0,80.5761,0.23748,0.34538,0.87987,1.0,0.00012816,0.00012816,0.00012816
40,12018,1.0,80.0208,0.24154,0.35123,0.87192,0.9992,0.000128163,0.000128163,0.000128163
41,12218,1.0,82.1427,0.23137,0.35244,0.87749,0.9992,0.000128165,0.000128165,0.000128165
42,12418,1.0,83.4973,0.24508,0.36691,0.87629,0.9996,0.000128168,0.000128168,0.000128168
43,12618,1.0,85.2464,0.23339,0.37394,0.88425,0.9992,0.000128171,0.000128171,0.000128171
44,12818,1.0,86.2714,0.22995,0.35285,0.8755,0.9992,0.000128173,0.000128173,0.000128173
45,13018,1.0,88.1407,0.23367,0.3453,0.88226,0.9992,0.000128176,0.000128176,0.000128176
46,13218,1.0,87.8281,0.21072,0.3705,0.88783,0.9992,0.000128178,0.000128178,0.000128178
47,13418,1.0,88.9782,0.21951,0.35198,0.88345,0.9996,0.00012818,0.00012818,0.00012818
48,13618,1.0,89.5497,0.21986,0.36766,0.88862,0.9996,0.000128183,0.000128183,0.000128183
49,13818,1.0,90.4559,0.21296,0.3474,0.88465,0.99881,0.000128185,0.000128185,0.000128185
