Phase,Num_Images,Epoch,Time,Train Loss,Val Loss,Top-1 Accuracy,Top-5 Accuracy,LR_pg0,LR_pg1,LR_pg2
0,4020,1.0,36.8335,2.24622,0.98378,0.68218,0.97176,0.000127824,0.000127824,0.000127824
1,4221,1.0,37.5794,1.09503,0.6787,0.75457,0.98886,0.000127847,0.000127847,0.000127847
2,4422,1.0,35.0072,0.81854,0.59687,0.78162,0.99364,0.00012787,0.00012787,0.00012787
3,4623,1.0,36.4989,0.70264,0.5441,0.80032,0.99682,0.000127889,0.000127889,0.000127889
4,4824,1.0,38.7804,0.62044,0.55804,0.78202,0.99682,0.000127908,0.000127908,0.000127908
5,5025,1.0,38.7284,0.58867,0.49865,0.81424,0.99602,0.000127926,0.000127926,0.000127926
6,5226,1.0,44.78,0.53038,0.4757,0.82936,0.99841,0.000127941,0.000127941,0.000127941
7,5427,1.0,40.9224,0.51592,0.48934,0.79475,0.99841,0.000127956,0.000127956,0.000127956
8,5628,1.0,43.196,0.50037,0.45252,0.83214,0.9996,0.000127969,0.000127969,0.000127969
9,5829,1.0,44.5225,0.47604,0.46602,0.83055,0.99881,0.000127982,0.000127982,0.000127982
10,6030,1.0,45.6401,0.45078,0.45843,0.8393,0.9992,0.000127993,0.000127993,0.000127993
11,6231,1.0,46.5956,0.43849,0.42471,0.85123,0.99841,0.000128004,0.000128004,0.000128004
12,6432,1.0,48.1939,0.40601,0.43636,0.83373,0.99841,0.000128014,0.000128014,0.000128014
13,6633,1.0,47.8256,0.41212,0.43645,0.83333,0.99881,0.000128024,0.000128024,0.000128024
14,6834,1.0,54.3289,0.40563,0.40536,0.85004,0.99881,0.000128033,0.000128033,0.000128033
15,7035,1.0,51.8464,0.39141,0.42254,0.84805,1.0,0.000128042,0.000128042,0.000128042
16,7236,1.0,52.9044,0.3744,0.42272,0.85084,0.9992,0.00012805,0.00012805,0.00012805
17,7437,1.0,54.0798,0.3676,0.44235,0.84924,0.9992,0.000128057,0.000128057,0.000128057
18,7638,1.0,55.1509,0.36849,0.39057,0.86436,0.9992,0.000128065,0.000128065,0.000128065
19,7839,1.0,55.9937,0.33912,0.41766,0.83731,0.9996,0.000128071,0.000128071,0.000128071
20,8040,1.0,56.7023,0.34733,0.4046,0.86197,0.9996,0.000128078,0.000128078,0.000128078
21,8241,1.0,58.6456,0.34063,0.40227,0.86436,0.9992,0.000128085,0.000128085,0.000128085
22,8442,1.0,59.7881,0.31869,0.37427,0.86476,0.99881,0.00012809,0.00012809,0.00012809
23,8643,1.0,62.2395,0.31635,0.38429,0.85879,0.9992,0.000128096,0.000128096,0.000128096
24,8844,1.0,61.5685,0.31238,0.38429,0.85959,1.0,0.000128101,0.000128101,0.000128101
25,9045,1.0,63.5644,0.29955,0.42642,0.8564,0.9992,0.000128107,0.000128107,0.000128107
26,9246,1.0,65.6433,0.29605,0.36628,0.87112,0.9996,0.000128111,0.000128111,0.000128111
27,9447,1.0,65.5112,0.29476,0.38052,0.86595,0.99841,0.000128116,0.000128116,0.000128116
28,9648,1.0,67.8447,0.29198,0.37617,0.86317,1.0,0.000128121,0.000128121,0.000128121
29,9849,1.0,69.5252,0.27307,0.39785,0.86317,0.9992,0.000128125,0.000128125,0.000128125
30,10050,1.0,70.3616,0.28188,0.38766,0.86516,1.0,0.000128129,0.000128129,0.000128129
31,10251,1.0,74.9135,0.27399,0.37669,0.86794,0.9996,0.000128133,0.000128133,0.000128133
32,10452,1.0,75.1178,0.26973,0.38795,0.86794,1.0,0.000128137,0.000128137,0.000128137
33,10653,1.0,77.6241,0.2723,0.37382,0.87709,0.9996,0.000128141,0.000128141,0.000128141
34,10854,1.0,76.0555,0.26615,0.38491,0.86237,0.9996,0.000128144,0.000128144,0.000128144
35,11055,1.0,79.2471,0.25482,0.37382,0.86913,0.9996,0.000128148,0.000128148,0.000128148
36,11256,1.0,79.2772,0.25831,0.35612,0.87232,0.9992,0.000128151,0.000128151,0.000128151
37,11457,1.0,76.8709,0.25184,0.36246,0.86913,0.9996,0.000128154,0.000128154,0.000128154
38,11658,1.0,82.9321,0.24157,0.351,0.88305,0.9992,0.000128157,0.000128157,0.000128157
39,11859,1.0,83.2009,0.25133,0.36622,0.87589,0.9992,0.00012816,0.00012816,0.00012816
40,12060,1.0,85.0665,0.24113,0.33352,0.88584,0.9996,0.000128163,0.000128163,0.000128163
41,12261,1.0,85.6187,0.24024,0.35045,0.88783,1.0,0.000128166,0.000128166,0.000128166
42,12462,1.0,87.5977,0.23853,0.3561,0.87629,1.0,0.000128169,0.000128169,0.000128169
43,12663,1.0,89.1536,0.22905,0.3636,0.88107,0.99841,0.000128171,0.000128171,0.000128171
44,12864,1.0,89.9512,0.22571,0.36277,0.88345,0.9996,0.000128174,0.000128174,0.000128174
45,13065,1.0,91.2853,0.22706,0.36056,0.88067,0.9992,0.000128176,0.000128176,0.000128176
46,13266,1.0,92.5543,0.22975,0.35195,0.88385,0.9996,0.000128179,0.000128179,0.000128179
47,13467,1.0,91.3036,0.22017,0.35519,0.88266,0.9996,0.000128181,0.000128181,0.000128181
48,13668,1.0,91.4263,0.21882,0.36875,0.87987,0.9996,0.000128183,0.000128183,0.000128183
49,13869,1.0,94.9247,0.217,0.32368,0.88783,1.0,0.000128185,0.000128185,0.000128185
