Phase,Num_Images,Epoch,Time,Train Loss,Val Loss,Top-1 Accuracy,Top-5 Accuracy,LR_pg0,LR_pg1,LR_pg2
0,4020,1.0,37.1649,2.25438,0.95776,0.69093,0.97454,0.000127824,0.000127824,0.000127824
1,4221,1.0,38.591,1.10471,0.67236,0.76253,0.98926,0.000127847,0.000127847,0.000127847
2,4422,1.0,40.0724,0.84052,0.62685,0.77844,0.99483,0.00012787,0.00012787,0.00012787
3,4623,1.0,38.2606,0.72183,0.53655,0.80032,0.9992,0.000127889,0.000127889,0.000127889
4,4824,1.0,39.9618,0.64813,0.52776,0.80111,0.99761,0.000127908,0.000127908,0.000127908
5,5025,1.0,44.8507,0.59382,0.4711,0.82418,0.99881,0.000127926,0.000127926,0.000127926
6,5226,1.0,42.4929,0.55105,0.43662,0.83652,0.99841,0.000127941,0.000127941,0.000127941
7,5427,1.0,44.1351,0.53327,0.46327,0.8222,0.9996,0.000127956,0.000127956,0.000127956
8,5628,1.0,47.1875,0.49307,0.43225,0.83453,0.9996,0.000127969,0.000127969,0.000127969
9,5829,1.0,44.356,0.46206,0.42671,0.84248,1.0,0.000127982,0.000127982,0.000127982
10,6030,1.0,50.1033,0.46741,0.46292,0.82816,1.0,0.000127993,0.000127993,0.000127993
11,6231,1.0,52.2378,0.44148,0.40874,0.85084,1.0,0.000128004,0.000128004,0.000128004
12,6432,1.0,49.4395,0.42403,0.39314,0.85481,0.9996,0.000128014,0.000128014,0.000128014
13,6633,1.0,55.0311,0.41089,0.39919,0.8564,0.9996,0.000128024,0.000128024,0.000128024
14,6834,1.0,50.5015,0.40442,0.40164,0.85481,0.9996,0.000128033,0.000128033,0.000128033
15,7035,1.0,53.7468,0.38024,0.35988,0.86317,0.9996,0.000128042,0.000128042,0.000128042
16,7236,1.0,58.3483,0.37026,0.36873,0.86476,0.9996,0.00012805,0.00012805,0.00012805
17,7437,1.0,57.0171,0.35738,0.3657,0.8747,0.99881,0.000128057,0.000128057,0.000128057
18,7638,1.0,57.0277,0.36469,0.36546,0.86476,0.9996,0.000128065,0.000128065,0.000128065
19,7839,1.0,57.6663,0.35101,0.38424,0.85998,0.9992,0.000128071,0.000128071,0.000128071
20,8040,1.0,59.3662,0.34982,0.37805,0.86516,0.9996,0.000128078,0.000128078,0.000128078
21,8241,1.0,61.5241,0.33784,0.35956,0.86953,1.0,0.000128085,0.000128085,0.000128085
22,8442,1.0,61.3687,0.32745,0.36562,0.86993,1.0,0.00012809,0.00012809,0.00012809
23,8643,1.0,65.8898,0.32842,0.34562,0.86714,1.0,0.000128096,0.000128096,0.000128096
24,8844,1.0,63.2974,0.32231,0.34532,0.86675,0.9996,0.000128101,0.000128101,0.000128101
25,9045,1.0,68.9681,0.30728,0.33464,0.87112,0.9996,0.000128107,0.000128107,0.000128107
26,9246,1.0,67.4299,0.30758,0.34982,0.87072,0.9996,0.000128111,0.000128111,0.000128111
27,9447,1.0,66.5146,0.29928,0.36886,0.86874,1.0,0.000128116,0.000128116,0.000128116
28,9648,1.0,68.9157,0.29391,0.36399,0.86635,1.0,0.000128121,0.000128121,0.000128121
29,9849,1.0,75.1349,0.29194,0.37399,0.86635,0.9996,0.000128125,0.000128125,0.000128125
30,10050,1.0,71.3526,0.2906,0.35831,0.87072,0.9992,0.000128129,0.000128129,0.000128129
31,10251,1.0,74.1432,0.27903,0.35667,0.88107,1.0,0.000128133,0.000128133,0.000128133
32,10452,1.0,74.1773,0.27584,0.33574,0.88027,1.0,0.000128137,0.000128137,0.000128137
33,10653,1.0,75.9126,0.26905,0.34167,0.88067,1.0,0.000128141,0.000128141,0.000128141
34,10854,1.0,76.3959,0.26132,0.34718,0.88067,1.0,0.000128144,0.000128144,0.000128144
35,11055,1.0,79.6299,0.25238,0.33426,0.88027,1.0,0.000128148,0.000128148,0.000128148
36,11256,1.0,81.3065,0.25724,0.31651,0.89021,1.0,0.000128151,0.000128151,0.000128151
37,11457,1.0,80.1487,0.24903,0.3325,0.87908,1.0,0.000128154,0.000128154,0.000128154
38,11658,1.0,83.037,0.24865,0.34088,0.89061,0.9996,0.000128157,0.000128157,0.000128157
39,11859,1.0,85.2042,0.24464,0.31514,0.88902,1.0,0.00012816,0.00012816,0.00012816
40,12060,1.0,82.6589,0.24355,0.3381,0.88226,1.0,0.000128163,0.000128163,0.000128163
41,12261,1.0,85.2799,0.2469,0.32116,0.88703,1.0,0.000128166,0.000128166,0.000128166
42,12462,1.0,89.1637,0.24116,0.3315,0.88385,1.0,0.000128169,0.000128169,0.000128169
43,12663,1.0,90.2143,0.23091,0.35123,0.88226,1.0,0.000128171,0.000128171,0.000128171
44,12864,1.0,91.9217,0.23781,0.32614,0.89061,1.0,0.000128174,0.000128174,0.000128174
45,13065,1.0,92.1947,0.23426,0.34012,0.88743,1.0,0.000128176,0.000128176,0.000128176
46,13266,1.0,92.0178,0.22592,0.32206,0.893,0.9996,0.000128179,0.000128179,0.000128179
47,13467,1.0,95.433,0.21861,0.32661,0.88584,0.9996,0.000128181,0.000128181,0.000128181
48,13668,1.0,96.2215,0.22397,0.31767,0.89698,1.0,0.000128183,0.000128183,0.000128183
49,13869,1.0,93.7749,0.21862,0.34033,0.88226,1.0,0.000128185,0.000128185,0.000128185
